Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Flashback (feat. Gazo),Flashback,Favï¿,9/15/2023,DGA082396900,"2,654",27.4,88014813.00,16418.00,4788967.00,66.00,53097639.00,393538.00,99500.00,3276455.00,26517142.00,118125080.00,10.00,6432.00,,15.00,5475765.00,12.00,13.00,,410078.00,541305.00,,1
Space Song,Depression Cherry,Beach House,8/21/2015,USSUB1512203,"2,646",27.4,1099069598.00,261122.00,71073470.00,73.00,127534602.00,1660824.00,496525.00,338753643.00,2588157478.00,3593056.00,88.00,4491.00,9.00,14.00,264505.00,38.00,24447183.00,25737.00,16000671.00,7887047.00,,0
OKAY,OKAY (Versions),JT,4/24/2024,USUG12400080,"2,641",27.4,16446111.00,1966.00,36576049.00,65.00,5578963.00,138920.00,,,,,33.00,370.00,29.00,5.00,86874.00,42.00,1687958.00,1032.00,980462.00,178540.00,,1
Rude,Rude,MAGIC!,7/23/2013,TCABP1349192,"2,650",27.4,,1472.00,287308.00,,2541095833.00,12472238.00,,,,1743156344.00,,,,,,,,,,,,0
Chill Bill,The RCA-List (Vol. 2),Rob $tone,01-01-2016,USRC11601124,"2,649",27.4,843861768.00,155472.00,20340958.00,70.00,278120145.00,2625552.00,18775.00,2669418.00,16756000.00,1075983.00,30.00,600.00,49.00,18.00,99006.00,,346203131.00,441719.00,,4409923.00,,1
My Way,My Way,Calvin Harris,9/16/2016,GBARL1601358,"2,636",27.4,1014534913.00,132592.00,41964503.00,73.00,615907345.00,3461084.00,453551.00,10268320.00,56011096.00,171305180.00,146.00,51151.00,10.00,99.00,607512.00,10.00,111067662.00,33355.00,,8339785.00,,0
Big City Life,Big City Life,Luude,6/16/2022,AUDCB1702119,"2,653",27.4,181323700.00,71547.00,13471679.00,65.00,17510125.00,116193.00,37362.00,12550708.00,160730392.00,16109408.00,23.00,16173.00,,4.00,4860.00,2.00,3.00,,5948682.00,780420.00,,0
Luchï¿½ï¿½ La,Luchï¿½ï¿½ La Ley - Si,BoomBoxRepairKit,5/20/2022,QZHN62294886,"2,645",27.4,,,,,511029390.00,1611310.00,,,,,,1.00,,,,,,,,10.00,,0
Wife,Wife,(G)I-DLE,1/21/2024,KRA392300032,"2,643",27.4,58909647.00,3850.00,12472972.00,,65760732.00,1341331.00,,,,1405713659.00,3.00,288.00,,1.00,151363.00,13.00,130093.00,122.00,,82069.00,,0
'Till I Collapse,The Eminem Show,Eminem,5/26/2002,USIR10211066,"2,651",27.4,1958809069.00,282888.00,74055843.00,79.00,1463549979.00,10918289.00,41045.00,6151095.00,54356279.00,324314535.00,83.00,1714.00,25.00,37.00,924049.00,29.00,618998662.00,1209416.00,,4812702.00,,1
No Hands (feat. Roscoe Dash & Wale),No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,09-06-2010,USWB11002103,"2,655",27.4,662257934.00,113043.00,31739594.00,71.00,464462597.00,3215886.00,707886.00,215370319.00,1511650572.00,22268968.00,58.00,4835.00,20.00,7.00,3709.00,11.00,939708588.00,1049157.00,,4225673.00,,1
Jumbotron Shit Poppin,Her Loss,Drake,11-04-2022,USUG12208610,"2,635",27.4,126296463.00,44782.00,4407877.00,62.00,37702345.00,528716.00,23780.00,8679451.00,70817893.00,146398901.00,22.00,841.00,,1.00,891.00,,5094223.00,3119.00,9731011.00,588261.00,,1
La Nota,La Nota,Manuel Turizo,10-08-2020,QZDYA1800024,"2,648",27.4,560949285.00,80872.00,37192436.00,64.00,298415218.00,1583803.00,267500.00,58834137.00,576560432.00,35850480.00,124.00,22639.00,,21.00,1781933.00,49.00,29259483.00,3194.00,,1440068.00,,0
Amor a Primera Vista,Amor a Primera Vista,Los ï¿½ï¿½ngeles Az,6/14/2019,MX1721901080,"2,644",27.4,346860422.00,29735.00,10707382.00,65.00,888138257.00,2432863.00,18009.00,4833780.00,73588039.00,29426957.00,32.00,7700.00,47.00,10.00,72268.00,16.00,43302352.00,13188.00,,1446419.00,,0
Solo,Solo,Myles Smith,11/15/2023,UKXN22382205,"2,647",27.4,95747052.00,18521.00,23770824.00,,13990236.00,198993.00,1907.00,604177.00,9054387.00,45935756.00,29.00,8090.00,,44.00,696335.00,3.00,176881.00,306.00,588902.00,313239.00,,0
UNFORGIVEN (feat. Nile Rodgers),UNFORGIVEN,LE SSERAFIM,05-01-2023,USA2P2310663,"2,639",27.4,223652808.00,18262.00,11833709.00,70.00,129099788.00,2078161.00,85400.00,75312218.00,705088821.00,266676222.00,29.00,2567.00,32.00,4.00,24189.00,38.00,493588.00,471.00,,324686.00,,0
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Bonnadol,3/15/2023,THSOH2301617,"2,652",27.4,478756.00,207.00,18460.00,21.00,5028021.00,4866.00,2000000.00,13777952.00,193347455.00,,,,,,,,,,,4666.00,,0
Elini Ver,Elini Ver,Amo988,5/15/2024,TRBUL2400025,"2,637",27.4,15352061.00,639.00,5601320.00,72.00,11854252.00,76636.00,,,,,12.00,390.00,,2.00,1581911.00,,,,,130733.00,,0
Sex Music,Sex Music,Tank,6/29/2010,USAT21001199,"2,638",27.4,5283089.00,920.00,403273.00,30.00,7187358.00,56665.00,377.00,21957.00,482153.00,738617.00,2.00,99.00,,,,,20524623.00,3482168.00,,90172.00,,0
Porfa,Porfa,Feid,12/13/2019,USUM71924087,"2,661",27.3,396184710.00,62515.00,16214167.00,65.00,656159660.00,2808401.00,712.00,216831.00,1796651.00,45547242.00,43.00,8597.00,9.00,21.00,126240.00,17.00,14228113.00,2733.00,,1168477.00,,0
P power (feat. Drake),DRIP SEASON 4EVER,Gunna,01-07-2022,QMCE32200042,"2,671",27.3,307122295.00,91786.00,17784294.00,69.00,31666337.00,395808.00,142300.00,49947875.00,327835388.00,42553980.00,19.00,3448.00,154.00,11.00,64551.00,3.00,14840512.00,9645.00,,1132723.00,,1
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Speak Now (Taylor's Version),Taylor Swift,07-07-2023,USUG12302091,"2,673",27.3,247056218.00,19231.00,16723973.00,69.00,41065721.00,1260603.00,139100.00,34732272.00,386594049.00,756308958.00,30.00,21779.00,3.00,13.00,387578.00,43.00,3133286.00,2751.00,283563.00,459379.00,,0
Derniï¿½ï¿½re d,Derniï¿½ï¿½re D,Indila,11/13/2013,FRUM71301049,"2,672",27.3,410783411.00,84509.00,10769145.00,72.00,1717040143.00,17082350.00,309984.00,152093157.00,1251931456.00,207204169.00,18.00,12131.00,,35.00,6308639.00,2.00,4540897.00,13830.00,,10550609.00,,0
