Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
A Thousand Years,A Thousand Years,Christina Perri,10/18/2011,USAT21102141,964,49.2,1654956613.00,177834.00,80060384.00,77.00,2989286684.00,19870174.00,4479720.00,848530861.00,8594414469.00,1579447076.00,94.00,88803.00,66.00,66.00,114244.00,46.00,,,68.00,15974659.00,,0
Secreto,Secreto,Anuel AA,1/15/2019,USXDR1900020,957,49.2,759388276.00,68502.00,18835572.00,65.00,1595484197.00,8161642.00,609042.00,40357374.00,543804719.00,306014364.00,40.00,159.00,15.00,43.00,358784.00,21.00,147935567.00,36380.00,3064688.00,1317266.00,,0
Toda Remix - Remix,Toda (Remix),Alex Rose,06-01-2018,QM4TX1838235,959,49.2,482021697.00,68578.00,13363939.00,66.00,1965829285.00,5786525.00,696400.00,34322459.00,289741256.00,30691906.00,25.00,2857.00,,5.00,41009.00,14.00,67068115.00,20616.00,,2148531.00,,1
I Hate U,I Hate U - Single,SZA,12-03-2021,USRC12103605,956,49.2,456871037.00,71261.00,34724014.00,66.00,142820854.00,1393679.00,877769.00,211488170.00,1676387442.00,85726782.00,105.00,136784.00,1324.00,29.00,699151.00,19.00,92133806.00,29242.00,15212609.00,1854776.00,,1
Better Now,beerbongs & bentleys,Post Malone,4/27/2018,USUM71805170,962,49.2,1953403531.00,239092.00,47844195.00,74.00,48443287.00,734538.00,104133.00,9802093.00,97061584.00,,144.00,350458.00,203.00,59.00,582382.00,79.00,467402120.00,251025.00,,8827325.00,,1
Call Me Maybe,Kiss,Carly Rae Jepsen,01-01-2012,CAB391100615,960,49.2,1394048309.00,211162.00,114187117.00,77.00,2007334200.00,12223928.00,418014.00,40431475.00,367016981.00,1811023591.00,222.00,200327.00,967.00,145.00,1939414.00,88.00,401427022.00,1189600.00,,14252942.00,,0
Pobre Corazï¿½,Pobre Corazï¿½ï¿½n (En Vivo) [feat. Onda Sabanera] - Si,Ke Personajes,03-02-2023,QZN882353309,965,49.2,187127704.00,18938.00,5235073.00,65.00,425484500.00,857540.00,8176.00,2607049.00,30085568.00,188119455.00,8.00,5686.00,,5.00,349806.00,7.00,,,,432240.00,,0
Piece Of Your Heart,Piece Of Your Heart,MEDUZA,02-01-2019,DEUM71807719,966,49.2,995452298.00,188608.00,44047615.00,65.00,464369299.00,4586152.00,742947.00,75493341.00,1282810923.00,34091844.00,255.00,171176.00,196.00,166.00,2039570.00,43.00,46973428.00,14833.00,26135531.00,14464887.00,,0
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Varun Jain,5/22/2023,INH102307782,961,49.2,203379355.00,14067.00,8370027.00,63.00,361600873.00,2581315.00,,,,110775514.00,16.00,1319.00,,,,12.00,,,,376272.00,,0
Mi Kryptonita,Talento De Vida,Doble ONE Flow Letal,10-11-2023,QZTB72322595,967,49.1,140356426.00,9363.00,5604254.00,,87822276.00,963707.00,849600.00,119963984.00,1057039331.00,261296658.00,4.00,4.00,,6.00,5463321.00,,131941.00,873.00,,961258.00,,0
Ram Pam Pam,Ram Pam Pam,NATTI NATASHA,4/20/2021,USB272100106,968,49.1,257167813.00,38896.00,13810240.00,55.00,794011391.00,4280865.00,1887815.00,202617114.00,2167134347.00,350033186.00,69.00,28737.00,176.00,20.00,116868.00,35.00,24761052.00,5667.00,,1621368.00,,1
"Milo J: Bzrp Music Sessions, Vol. 57",en dormir sin Madrid,Bizarrap,10-03-2023,UYB282301041,970,49,181516735.00,25092.00,10823656.00,,155509942.00,2922165.00,,,,53784475.00,7.00,1849.00,,9.00,401523.00,15.00,62580.00,76.00,,194645.00,,0
Stuck In The Middle,BABYMONSTER Pre-Release Single [Stuck In The Middle],BABYMONSTER,02-01-2024,KRA402400004,972,49,21167612.00,1285.00,2035557.00,,147951356.00,1755973.00,16500.00,8382900.00,70103300.00,80502081.00,5.00,284.00,,,,8.00,,,,47782.00,,0
No Se Va,No Se Va (En Vivo) - EP,Grupo Frontera,4/28/2022,QZHN72212529,973,49,582023797.00,48881.00,17367502.00,70.00,293059162.00,1383526.00,1100596.00,64787440.00,805988782.00,40039.00,26.00,18750.00,222.00,6.00,53465.00,16.00,84722896.00,25730.00,192143.00,1946266.00,,0
Aesthetic,Aesthetic,Xilo,2/14/2020,QZFZ22071847,969,49,27312761.00,9048.00,2060708.00,38.00,3538161.00,118805.00,12562825.00,754488882.00,5979843010.00,86473112.00,6.00,,239.00,2.00,3328.00,,174203.00,2348.00,,26178.00,,1
get him back!,GUTS,Olivia Rodrigo,09-08-2023,USUG12304099,971,49,287724574.00,25460.00,15517447.00,,54771296.00,818500.00,485830.00,47532963.00,469327093.00,1298782751.00,47.00,56.00,34.00,29.00,1998239.00,43.00,6371213.00,20559.00,910103.00,770996.00,,1
LA PEOPLE II,LA PEOPLE II,Peso Pluma,3/21/2024,QM4TX2458976,978,48.9,123243341.00,5069.00,34480158.00,79.00,53762979.00,472820.00,,171600.00,3100000.00,,13.00,8.00,,4.00,1081795.00,14.00,2185039.00,1024.00,,121403.00,,1
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Back To Black: Songs From The Original Motion Picture,Amy Winehouse,04-12-2024,GBCAD2000628,974,48.9,562814594.00,17.00,25810.00,,,,,,,,,,,1.00,530.00,,,,,,,0
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401029,975,48.9,150693008.00,3273.00,15710281.00,,15389385.00,261652.00,,4822.00,39100.00,,29.00,450.00,,4.00,53098.00,52.00,3131451.00,12957.00,,49802.00,,1
Your Love (9PM),Your Love (9PM),ATB,1/15/2021,DECE72003523,976,48.9,721002104.00,146298.00,62920572.00,71.00,118729044.00,952700.00,25400.00,5772644.00,81735548.00,153714110.00,201.00,361427.00,220.00,115.00,2519598.00,27.00,24235804.00,2394.00,5026745.00,7799522.00,,0
One Side,One Side,Iyanya,9/15/2022,ZA41S2225757,977,48.9,23823099.00,10859.00,859682.00,53.00,75987807.00,365743.00,4024066.00,59428340.00,1004679876.00,42569293.00,3.00,2518.00,,,,,,,,,,0
HEAT STICK,HEAT STICK,Shoreline Mafia,05-10-2024,USAT22402903,979,48.8,20538101.00,3675.00,33607850.00,74.00,3575151.00,101311.00,,20600.00,108700.00,381728.00,23.00,370.00,5.00,5.00,38916.00,7.00,1637484.00,359.00,1415426.00,75399.00,,1
Photograph,x (Wembley Edition),Ed Sheeran,01-01-2013,GBAHS1400094,980,48.8,2525355904.00,208671.00,121163411.00,77.00,1884843329.00,9916244.00,1459274.00,502385405.00,4406781129.00,1706776803.00,249.00,89818.00,80.00,234.00,603824.00,54.00,450907868.00,190210.00,35594470.00,17163765.00,,0
Virginia Beach,For All The Dogs,Drake,10-06-2023,USUG12306066,981,48.8,165204421.00,38562.00,6636362.00,,16599214.00,126612.00,,,,35874.00,5.00,1751.00,,2.00,1924.00,8.00,5063703.00,5731.00,6243171.00,349915.00,,1
Great Gatsby,Nostalgia,Rod Wave,9/15/2023,USQX92305201,982,48.7,66813186.00,11024.00,4487030.00,,75881981.00,409473.00,4842.00,4543062.00,34091093.00,359281223.00,11.00,1245.00,29.00,3.00,21417.00,16.00,18521097.00,26354.00,13491731.00,395093.00,,1
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofï¿½ï¿½a R,2/16/2018,USWL11700238,983,48.7,667508675.00,78737.00,29292148.00,61.00,1001147152.00,7847053.00,7162351.00,628778954.00,8778203835.00,433920815.00,97.00,36727.00,152.00,63.00,323404.00,41.00,12798124.00,11917.00,,8994016.00,,0
Ateï¿½ï¿½e Dï¿½ï,Ateï¿½ï¿½e Dï¿½ï,Mert Demir,9/22/2023,USA2P2346453,984,48.7,98395711.00,14727.00,3591657.00,,198114786.00,880794.00,,3300292.00,84398578.00,107323281.00,10.00,11952.00,,2.00,1567756.00,,,,,1134279.00,,0
Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),Stephen Sanchez,4/22/2022,USUG12202266,986,48.6,1020452066.00,108274.00,75934462.00,79.00,114404861.00,1372385.00,228100.00,129184868.00,1013000586.00,995903.00,45.00,74239.00,,27.00,250765.00,5.00,1435373.00,6073.00,3198903.00,,,0
Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,03-05-2021,USUG12101042,985,48.6,793287638.00,225513.00,37094631.00,71.00,104966782.00,872923.00,36542.00,45722496.00,319496635.00,783169.00,130.00,18714.00,82.00,21.00,693216.00,18.00,57284328.00,23173.00,,2221501.00,,1
Jiwa Yang Bersedih,Jiwa Yang Bersedih - Single,Ghea Indrawari,5/18/2023,FRX452328816,987,48.4,229120157.00,11931.00,7972917.00,69.00,136914720.00,1023397.00,1589944.00,378055132.00,5604886674.00,45212529.00,6.00,3334.00,,,,,,,,154129.00,,0
Coco Chanel,3MEN2 KBRN,Eladio Carrion,3/17/2023,QM4TX2344391,988,48.4,459282058.00,67717.00,32043186.00,72.00,100210832.00,673502.00,49000.00,17997404.00,147682062.00,1805292.00,46.00,24347.00,102.00,13.00,242670.00,17.00,9497644.00,3142.00,,742228.00,,1
Calm Down Baby,Calm Down Baby - Single,DJ Laxman,01-12-2024,FR10S2458617,989,48.4,1389772733.00,1.00,1.00,,,,,,,,2.00,,,,,,,,,,,0
At My Worst,The Prelude,Pink Sweat$,7/17/2020,USAT22003823,991,48.3,670245273.00,83819.00,24550707.00,64.00,537033479.00,4862491.00,3893052.00,155783189.00,1736930175.00,10765679.00,58.00,32924.00,388.00,17.00,104909.00,8.00,1187501.00,3010.00,,2977114.00,,0
TOO MUCH,TOO MUCH,The Kid LAROI,10/19/2023,USSM12307154,990,48.3,137894955.00,20037.00,20683852.00,,45533851.00,1730466.00,4402.00,2179277.00,13108162.00,1665204683.00,37.00,99290.00,31.00,37.00,404042.00,39.00,2640092.00,369.00,1157460.00,601987.00,,1
Go Down Deh (feat. Shaggy and Sean Paul),Go Down Deh (feat. Shaggy and Sean Paul),Spice,4/30/2021,USVPR2100046,993,48.2,218431985.00,56998.00,7122424.00,61.00,336505073.00,3901948.00,3595260.00,338445934.00,4731467896.00,11491467.00,24.00,20192.00,98.00,10.00,193061.00,14.00,12362903.00,6285.00,2388111.00,6024636.00,,0
Cake By The Ocean - Cover,NEW TIK&TOK - BUZZ BEST -,MUSIC LAB JPN,06-07-2023,TCJPV2340543,"1,103",48.2,1611084670.00,,,,,,,,,,,,,,,,,,,,,1
Miles On It,Miles on It,Marshmello,05-03-2024,QZZVQ2400059,992,48.2,41924126.00,3794.00,124369916.00,79.00,4219901.00,103922.00,,,,237146592.00,87.00,4032.00,33.00,51.00,8224597.00,91.00,9227545.00,2729.00,239024.00,189286.00,,0
El Caballito,El Caballito - Single,FARIANA,06-07-2024,QM6N22408548,994,48.2,184278.00,74.00,5010610.00,42.00,,,63000.00,14587439.00,205181975.00,,4.00,8.00,,,,12.00,387.00,,,2840.00,,1
PICK UP THE PHONE (feat. Nate Dogg),PICK UP THE PHONE (feat. Nate Dogg),PAWSA,5/31/2024,GBCEN2400112,995,48.1,2284977.00,1425.00,11819359.00,22.00,186215.00,4951.00,,,,,13.00,243.00,,16.00,206878.00,24.00,,,1035215.00,44984.00,,1
Tomorrow 2 (with Cardi B),Tomorrow 2 (with Cardi B),GloRilla,9/23/2022,USUM72217666,996,48.1,157806193.00,27840.00,14490602.00,64.00,216925153.00,1357039.00,264839.00,77376260.00,507673872.00,175345907.00,41.00,221878.00,172.00,6.00,22426.00,60.00,54650583.00,33003.00,,1089768.00,,1
Se Preparï¿,Se Preparï¿,Ozuna,08-10-2017,USXDR1700552,997,48.1,846909112.00,81897.00,37257314.00,73.00,2003507626.00,8554387.00,357129.00,31889859.00,259122341.00,265630619.00,50.00,11560.00,115.00,18.00,197244.00,32.00,202338087.00,58208.00,,2526044.00,,0
Lost on You,Lost On You,LP,3/24/2016,QMRSZ1501406,998,48.1,837042727.00,127522.00,22902207.00,70.00,2265062550.00,13313083.00,87300.00,31874280.00,239446479.00,220914117.00,80.00,80796.00,,105.00,511599.00,13.00,4454935.00,23901.00,,16431621.00,,0
Leï¿½,Leï¿½ï¿½o - Si,Marï¿½ï¿½lia Mendo,12-08-2022,BRWNV2200185,999,48,415752953.00,20588.00,32327663.00,66.00,423072409.00,2136310.00,318300.00,58453253.00,754580262.00,1139343976.00,26.00,8809.00,,55.00,7373693.00,13.00,14151.00,29.00,,280389.00,,0
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")","What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,07-12-2023,INH102309955,"1,005",47.9,159909273.00,7624.00,11285253.00,64.00,329088407.00,1435514.00,,,,92792948.00,12.00,1145.00,,1.00,1097.00,21.00,,,,109794.00,,0
Lean Wit Me,Lean Wit Me,Juice WRLD,5/22/2018,USUG11800945,"1,001",47.9,880781313.00,137341.00,29154307.00,72.00,432457883.00,3689786.00,28508.00,3880481.00,33981823.00,5946423.00,21.00,835.00,113.00,10.00,71637.00,2.00,59762272.00,55696.00,120023575.00,934193.00,,1
HOTEL LOBBY (Unc & Phew),HOTEL LOBBY (Unc and Phew),Quavo,5/20/2022,USUG12202512,"1,002",47.9,399707517.00,131547.00,25873871.00,69.00,44839108.00,449678.00,1332.00,101238.00,1130861.00,2803361.00,66.00,36742.00,836.00,12.00,1000634.00,36.00,81514413.00,12561.00,,2145146.00,,1
"Choli Ke Peeche (From ""Crew"")","Choli Ke Peeche (From ""Crew"") - Single",Diljit Dosanjh,3/20/2024,INT102400983,"1,006",47.9,16264473.00,552.00,6584623.00,,93523633.00,390514.00,,,,,1.00,487.00,,,,11.00,,,,35056.00,,0
April Rain in August Weather,April Rain in August Weather - Single,Baba Blakes,3/24/2023,FR96X2351551,"1,004",47.9,408449.00,38.00,1747.00,12.00,524571173.00,1510602.00,23.00,20.00,385.00,,,25.00,,,,,,,,75.00,,0
LEATHER,LEATHER,MAKAELA,1/27/2023,QZJG52355895,"1,000",47.9,1696.00,,,,604258394.00,1611760.00,,,,,,6.00,,,,,,,,,,1
Panini,Panini,Lil Nas X,6/20/2019,USSM11903948,"1,003",47.9,741766886.00,96241.00,16599790.00,62.00,659070547.00,10294151.00,334492.00,59073681.00,493209730.00,229239236.00,68.00,46553.00,504.00,22.00,405827.00,18.00,132924483.00,229717.00,43940834.00,2409985.00,,0
She Had Me At Heads Carolina,Stereotype,Cole Swindell,04-08-2022,USWB12200181,"1,007",47.9,244709550.00,33533.00,14159174.00,69.00,92809269.00,501049.00,53799.00,11305059.00,140118719.00,466327206.00,31.00,418626.00,159.00,4.00,96022.00,28.00,154772045.00,37582.00,,911477.00,,0
"So Long, London",THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401032,"1,008",47.8,175613480.00,4454.00,20883678.00,84.00,15237337.00,222750.00,,247100.00,1510800.00,24074850.00,29.00,774.00,,6.00,284806.00,27.00,2107786.00,2086.00,,67886.00,,0
good 4 u,good 4 u,Olivia Rodrigo,5/14/2021,USUG12101253,"1,009",47.8,2167768056.00,12805.00,3065794.00,54.00,,,,,,,93.00,819886.00,,6.00,192922.00,2.00,,,,7171230.00,,0
bad idea right?,bad idea right?,Olivia Rodrigo,08-11-2023,USUG12304094,"1,012",47.7,433515672.00,37313.00,23894665.00,12.00,37971085.00,871048.00,236657.00,92857729.00,839351640.00,1213115245.00,73.00,12873.00,495.00,38.00,8664321.00,37.00,10949173.00,15146.00,,706445.00,,1
"Ay, DiOs Mï¿½ï","Ay, DiOs Mï¿½ï",KAROL G,07-10-2020,USUM72013593,"1,016",47.7,599215039.00,57051.00,16707832.00,61.00,834762162.00,5130805.00,2265527.00,71390703.00,779241131.00,38462285.00,111.00,26349.00,168.00,25.00,244418.00,33.00,54177152.00,13881.00,2842552.00,1362793.00,,0
happier,SOUR,Olivia Rodrigo,5/21/2021,USUG12101247,"1,015",47.7,1133535049.00,116055.00,29173011.00,79.00,352845171.00,3883946.00,722581.00,472933333.00,3266081830.00,326868389.00,56.00,20348.00,,11.00,193230.00,11.00,34992093.00,44126.00,,1970544.00,,1
Lalala,Lalala,Y2K,6/28/2019,USSM11904230,"1,010",47.7,968133091.00,142494.00,16656325.00,66.00,707665227.00,10665380.00,2733359.00,556612849.00,6342877983.00,368355428.00,76.00,25256.00,267.00,33.00,6401270.00,7.00,,,,9155025.00,,1
ONE MORE TIME,ONE MORE TIME / MORE THAN YOU KNOW,blink-182,9/21/2023,USSM12306395,"1,011",47.7,62097485.00,16027.00,7986146.00,,36646460.00,717689.00,5436.00,2500510.00,39957104.00,40665968.00,23.00,159385.00,44.00,18.00,291819.00,61.00,3622597.00,4137.00,,1145608.00,,0
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,HoneyWorks,11/21/2022,JPX402200183,"1,014",47.7,23191929.00,5912.00,438018.00,51.00,128703160.00,1112327.00,3400886.00,499324989.00,6284732144.00,80772548.00,3.00,80.00,,,,6.00,46380.00,60.00,,188814.00,,0
Tubarï¿½ï¿½o Te,Tubarï¿½ï¿½o Te,Dj LK da Escï¿½ï¿,9/28/2022,BC91N2200001,"1,013",47.7,150177750.00,30142.00,13282269.00,59.00,153683754.00,1673637.00,2700000.00,1300234701.00,15253039012.00,6064515.00,9.00,151.00,281.00,28.00,89832.00,10.00,64326.00,340.00,,1072415.00,,1
Chichiquetere,Chichiquetere,HCTM,08-06-2022,SGB502231965,"1,017",47.6,1858478.00,581.00,37113.00,28.00,163462.00,3981.00,5101153.00,88338099.00,1420793896.00,,,23.00,,,,,,,,49225.00,,0
After Hours,After Hours,Kehlani,04-04-2024,USAT22401034,"1,019",47.6,34629239.00,3962.00,55053444.00,14.00,2560026.00,50310.00,,477400.00,4592500.00,14602910.00,49.00,36465.00,7.00,17.00,215137.00,32.00,4067131.00,1027.00,603693.00,349619.00,,1
Monkeys Spinning Monkeys,SteamFun - Single,Kevin MacLeod,5/16/2011,USUAN1400011,"1,018",47.6,11477477.00,7679.00,1490705.00,36.00,11457166.00,123604.00,31963934.00,23474223833.00,233232311463.00,1418397.00,4.00,2557.00,,1.00,43207.00,1.00,,,,1177639.00,,0
II MOST WANTED,COWBOY CARTER,Beyoncï¿,3/27/2024,USSM12402717,"1,022",47.5,76870736.00,5252.00,32501444.00,,6424033.00,126715.00,,,,200314697.00,76.00,35701.00,23.00,83.00,6321279.00,64.00,4488447.00,1755.00,176006.00,286217.00,,0
One Kiss (with Dua Lipa),Dua Lipa (Complete Edition),Calvin Harris,01-01-2015,GBARL1800368,"1,024",47.5,2178606166.00,291456.00,162511602.00,79.00,1256080361.00,8723122.00,1932873.00,174361744.00,1597020461.00,706333060.00,458.00,160995.00,376.00,548.00,3408335.00,103.00,141238520.00,81291.00,,15829169.00,,0
Mmhmm,Mmhmm,BigXthaPlug,10-06-2023,QZNMX2391413,"1,020",47.5,155648648.00,28131.00,46683719.00,82.00,27758776.00,286628.00,44222.00,881868.00,7609548.00,105397484.00,20.00,23720.00,203.00,1.00,1924.00,10.00,7238417.00,2385.00,5358274.00,479173.00,,1
BOP,KIRK,DaBaby,9/27/2019,USUM71918972,"1,021",47.5,820923123.00,158363.00,34079735.00,68.00,661665888.00,6303898.00,74988.00,16461096.00,129969428.00,156344017.00,68.00,140499.00,401.00,38.00,202117.00,7.00,123274962.00,145513.00,,2417871.00,,1
Husn,Husn,Anuv Jain,12-01-2023,INUM72303081,"1,023",47.5,181457783.00,12424.00,10746664.00,74.00,130834495.00,1816271.00,,,,1014573386.00,9.00,104.00,,1.00,1097.00,6.00,,1.00,,355361.00,,0
Titanium (feat. Sia),Nothing But The Beat,Sia,01-01-2011,GB28K1100036,"1,031",47.4,1634403761.00,244291.00,103798139.00,74.00,1855838617.00,9070363.00,223184.00,49312980.00,510515661.00,1440344388.00,253.00,213633.00,53.00,142.00,1062057.00,77.00,651980038.00,1038186.00,,15214627.00,,0
Kahani Suno 2.0,Kahani Suno 2.0,Kaifi Khalil,5/31/2022,QZK6Q2278612,"1,027",47.4,296648613.00,21479.00,6678540.00,68.00,510727740.00,6497078.00,1200000.00,27052606.00,410960127.00,,2.00,,,1.00,1097.00,,,,,422144.00,,0
No_se_ve.mp3,No_se_ve.mp3 - Single,Emilia,05-03-2023,QM6N22333334,"1,025",47.4,218340846.00,30667.00,18842918.00,64.00,223159269.00,879627.00,225600.00,67337219.00,876147905.00,290956426.00,20.00,23591.00,12.00,30.00,766172.00,54.00,13860.00,,,744536.00,,1
Lean On (feat. Mï¿½ï¿½ & DJ Snake) - J Balvin & Farruko R,Lean On (feat. Mï¿½ï¿½ & DJ Snake) [J Balvin & Farruko Re,Major Lazer,09-04-2015,FR6P11501180,"1,030",47.4,53822187.00,2081.00,465455.00,,3617929617.00,17418989.00,,37.00,956.00,1393748323.00,,,,1.00,234.00,,,,,,,0
Arcade,Arcade,Duncan Laurence,03-07-2019,NL1TK1900001,"1,029",47.4,1184536529.00,199838.00,52970224.00,69.00,439603979.00,6566306.00,1458534.00,698504294.00,6956515458.00,852884.00,124.00,162431.00,210.00,51.00,343757.00,20.00,43572216.00,21328.00,,11835805.00,,0
Ya Te Olvide,Ya Te Olvide,Natanael Cano,5/15/2024,QZ9QQ2400324,"1,032",47.4,38139811.00,1763.00,29137587.00,79.00,19437867.00,412418.00,,,,,9.00,4.00,,2.00,1229099.00,15.00,938522.00,120.00,,114816.00,,0
How Deep Is Your Love,How Deep Is Your Love,Calvin Harris,7/17/2015,GBARL1500704,"1,026",47.4,1156342373.00,168603.00,66723908.00,78.00,1961319809.00,8520003.00,527189.00,148496036.00,982629718.00,234830168.00,364.00,77370.00,80.00,132.00,734737.00,12.00,164858805.00,135026.00,,14394209.00,,0
BUTTERFLY EFFECT,EPIC AF,Travis Scott,01-01-2017,USSM11704799,"1,028",47.4,1388024799.00,219410.00,37089107.00,79.00,583707677.00,4328247.00,103265.00,22575146.00,236970860.00,39422962.00,133.00,7534.00,,31.00,285491.00,27.00,190725773.00,62017.00,89880570.00,3356112.00,,0
Let You Down,Let You Down,NF,9/15/2017,USUM71708226,"1,034",47.2,1472430869.00,187536.00,40032849.00,73.00,668707222.00,7011620.00,754672.00,35519027.00,270757450.00,128349191.00,68.00,67662.00,137.00,30.00,104624.00,11.00,484243114.00,237879.00,,8887316.00,,0
FE!N (feat. Playboi Carti),FE!N (feat. Playboi Carti),Travis Scott,3/30/2024,USSM22301824,"1,033",47.2,656618110.00,3.00,82.00,,,,,,,,,,,,,,,,,,,1
Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ,Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ,MEDUZA,7/22/2022,GBUM72203666,"1,035",47.2,460973352.00,87026.00,76037102.00,69.00,21938855.00,220610.00,46341.00,11711694.00,202563112.00,,93.00,200995.00,171.00,59.00,1721803.00,22.00,4963625.00,1266.00,2244208.00,3373945.00,,0
Yo Perreo Sola,YHLQMDLG,Bad Bunny,2/29/2020,QM4TX2030934,"1,036",47.1,745086450.00,95154.00,29388631.00,67.00,818482247.00,8068018.00,1515908.00,126702212.00,1133216780.00,291194930.00,128.00,24957.00,38.00,35.00,372403.00,53.00,81678830.00,65483.00,,1822325.00,,0
ETA,NewJeans 2nd EP 'Get Up',NewJeans,7/21/2023,USA2P2330071,"1,038",47.1,234215735.00,20419.00,7910753.00,74.00,189170317.00,1734442.00,98128.00,38199952.00,297802502.00,537474239.00,24.00,2619.00,21.00,2.00,18940.00,4.00,696801.00,973.00,1352255.00,248138.00,,0
Jordan,Jordan,Ryan Castro,4/30/2021,FR96X2111994,"1,037",47.1,535847791.00,57454.00,22561916.00,73.00,602969531.00,3455570.00,2054500.00,440899222.00,5134093462.00,126173423.00,23.00,16697.00,394.00,9.00,55353.00,29.00,1005285.00,1583.00,,1079602.00,,0
Take You Dancing,Take You Dancing,Jason Derulo,7/22/2020,USAT22004479,"1,039",47.1,716319941.00,98905.00,32882211.00,65.00,460154791.00,3442896.00,522107.00,149900995.00,1506051452.00,176273148.00,145.00,392495.00,115.00,91.00,3010119.00,31.00,111888753.00,21214.00,,,,0
BUBALU,BUBALU,Feid,9/22/2023,USUM72312321,"1,043",47,152487756.00,26763.00,34486818.00,,91266986.00,531703.00,22360.00,672615.00,7708938.00,140740472.00,33.00,45802.00,34.00,44.00,11519450.00,27.00,1037674.00,651.00,,783303.00,,0
Be Alright,Be Alright,Dean Lewis,6/29/2018,AUUM71800255,"1,042",47,1749353402.00,182732.00,81424354.00,72.00,244698483.00,2156754.00,191718.00,48497239.00,379547638.00,2742.00,148.00,153400.00,53.00,47.00,238867.00,26.00,187475548.00,145064.00,38670021.00,12744176.00,,1
Jalebi Baby,Jalebi Baby,Tesher,11/13/2020,QZNWQ2070741,"1,041",47,164137928.00,47324.00,4827888.00,58.00,569438267.00,9098356.00,3568275.00,609856643.00,8443743856.00,8067537.00,43.00,20053.00,26.00,3.00,1874.00,3.00,1536646.00,4239.00,3441396.00,6489242.00,,0
Endless Summer,Endless Summer,Alan Walker,7/13/2023,NOG842305010,"1,040",47,28340672.00,7147.00,9900066.00,55.00,6667293.00,144046.00,2207992.00,16323044.00,395590915.00,13897403.00,8.00,16735.00,,10.00,108472.00,8.00,297266.00,120.00,,150561.00,,1
Belly Dancer,Belly Dancer,Imanbek,2/18/2022,NLZ542200165,"1,047",46.9,547114702.00,110008.00,103107258.00,75.00,152539885.00,1025216.00,81866.00,45025550.00,367187204.00,675951120.00,85.00,125928.00,,73.00,1992797.00,42.00,,,,3826486.00,,0
Who Told You (feat. Drake),Who Told You (feat. Drake) - Single,J Hus,06-08-2023,GBARL2300716,"1,046",46.9,142574143.00,72496.00,16207605.00,62.00,16368063.00,168658.00,80897.00,28314723.00,264112132.00,511758.00,90.00,25565.00,45.00,36.00,503882.00,49.00,434491.00,,,845300.00,,1
NIGHT DANCER,NIGHT DANCER - Single,imase,8/19/2022,JPPO02202918,"1,045",46.9,239149370.00,46984.00,6134615.00,67.00,281173184.00,3281196.00,1132387.00,226568824.00,2285171989.00,80772548.00,32.00,2272.00,,3.00,10100.00,2.00,304322.00,906.00,,1864998.00,,0
Yoksun,Yoksun - Single,Ebru Yaï¿½ï,02-02-2024,FR2X42424385,"1,048",46.9,33174286.00,1658.00,1193973.00,,119795906.00,342242.00,,,,1145002460.00,9.00,5456.00,,2.00,1581911.00,,,,,499594.00,,0
DON'T YOU WORRY,Don't You Worry,Black Eyed Peas,6/16/2022,USSM12202555,"1,044",46.9,302939117.00,48916.00,26723190.00,62.00,236850911.00,1744818.00,86202.00,6704531.00,74013480.00,5024734774.00,57.00,232177.00,654.00,51.00,1215691.00,32.00,1954271.00,2652.00,,4456945.00,,0
"Rowdy Baby (From ""Maari 2"")",U1 For Life,Dhanush,8/26/2020,IND291823075,"1,057",46.8,58283353.00,12.00,2710.00,,1558088734.00,6652026.00,,,,169255135.00,,,,,,5.00,344.00,98.00,,139710.00,,0
MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,Elley Duhï¿,01-10-2020,USRC11903813,"1,054",46.8,1104008150.00,173612.00,51608714.00,72.00,431904675.00,4882117.00,612500.00,304312367.00,2922804533.00,42354537.00,72.00,88909.00,,35.00,997273.00,3.00,19854772.00,17812.00,,10511473.00,,0
