ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track,Spotify_pop_category,Release year,Clean_track,Clean_album,Clean_artist
UYB282301034,456.0,72.2,434019386.0,47202.0,14298402.0,350630590.0,4153653.0,80883691.1,776995435.5,48.0,7265.0,647350.0,1.0,Well-known,2023,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Peso Pluma: Bzrp Music Sessions, Vol. 55 - Single",Bizarrap
DEE861701287,458.0,72.0,120162.0,24.0,5642.0,4542997940.0,34925612.0,3192.0,38402.0,7.481208316193684,31310.5,2569.0,0.0,Hot track,2017,Faded,Faded,Benjamin Richter
US5TA2400074,457.0,72.0,29994527.0,1665.0,25533535.0,39678645.0,1520092.0,1533045.0,5347400.0,12.0,1664.0,69265.0,0.0,Least popular,2024,Lose My Breath,Lose My Breath,Stray Kids
QM6N21999015,460.0,71.9,52830200.0,14893.0,1344212.0,263688786.0,1760965.0,295333807.0,5821447553.0,2.0,430.0,3415809.0,0.0,Least popular,2019,Danza Kuduro - Cover,Un Verano Sin Ti,ALEX&RUS
DEEC33501508,459.0,71.9,5917083.0,1348.0,19711644.0,1541922.0,39879.0,4700915.0,53279473.0,45.0,12.0,196937.0,0.0,Well-known,2024,Move,Move - Single,Adam Port
USSM11904899,461.0,71.7,731933924.0,186835.0,18420557.0,534384489.0,4951977.0,18913500.0,173278256.0,40.0,1919.0,1966253.0,1.0,Well-known,2019,F.N,F.N,Lil Tjay
DEE861600586,462.0,71.5,2830962669.0,233504.0,128647419.0,2083619058.0,11898213.0,96711415.0,792720612.0,218.0,122867.0,5869.0,0.0,Hot track,2016,Say You Won't Let Go,Say You Won't Let Go,James Arthur
USCJY1431309,463.0,71.5,1829733410.0,157465.0,49558504.0,3624778617.0,16916871.0,38075232.0,346032878.0,154.0,41483.0,12259073.0,0.0,Hot track,2014,Blank Space,1989,Taylor Swift
USUM71710831,464.0,71.4,399689964.0,43481.0,8855966.0,3623407739.0,21725999.0,589841.0,6559308.0,8.0,37551.0,5910625.0,1.0,Well-known,2017,Girls Like You,Red Pill Blues,Maroon 5
USUM71703085,466.0,71.4,2226869580.0,311766.0,77191099.0,1281355260.0,11551257.0,90304316.0,769720113.0,357.0,84979.0,7692756.0,1.0,Hot track,2017,HUMBLE.,HUMBLE.,Kendrick Lamar
DEUM72204717,465.0,71.4,343556188.0,53783.0,14916823.0,78559130.0,611379.0,18533179.0,268283723.0,76.0,641638.0,3723951.0,0.0,Well-known,2022,Forget Me,Forget Me,Lewis Capaldi
FR9W12228852,467.0,71.3,2754.0,22.0,441.0,1197426502.0,2930658.9799206164,5522165.9,85029336.4,7.469370615393601,50.0,734274.7615130603,0.0,Hot track,2022,Sabka Malik Ek,Sabka Malik Ek,Dada Black Sheep
USWB12400001,469.0,71.2,284119669.0,23417.0,101687677.0,14777855.0,145459.0,509611.0,18832300.0,71.0,33810.0,857426.0,0.0,Hot track,2024,Scared To Start,Scared To Start,Michael Marcagi
USUM72215262,468.0,71.2,549382975.0,88241.0,44497733.0,128432797.0,2507944.0,583041946.0,5107877505.0,93.0,331869.0,2630957.0,1.0,Well-known,2022,Super Freaky Girl,Super Freaky Girl,Nicki Minaj
GBARL2300300,470.0,71.1,425999315.0,91229.0,100955340.0,81238584.0,760116.0,20190291.0,342295893.0,183.0,21709.0,4349283.0,0.0,Hot track,2023,Miracle,Miracle,Calvin Harris
AUZS21100040,471.0,71.0,1752826514.0,352833.0,87651528.0,2729174469.0,22532779.0,551329120.0,4679645090.0,202.0,301048.0,37339828.0,0.0,Hot track,2011,Somebody That I Used To Know,Making Mirrors,Gotye
USAT21502909,474.0,70.6,1859886400.0,161156.0,90365431.0,3951663770.0,23086917.0,49222866.0,265917250.0,2.0,82648.0,519466.90205192135,0.0,Hot track,2015,We Don't Talk Anymore,Nine Track Mind,Charlie Puth
USUYG1287925,473.0,70.6,40284121.0,14548.0,3212878.0,17978707.0,466425.0,4959548763.0,61088562861.0,15.0,113.0,31859.0,1.0,Least popular,2019,Oh No,Cold As Ice,Kreepa
USQX91900309,472.0,70.6,858059276.0,181654.0,27803039.0,464768581.0,3626173.0,48817948.0,417831392.0,46.0,31276.0,2592470.0,1.0,Well-known,2019,Pop Out,Pop Out,Polo G
USWB11506516,475.0,70.5,1916203330.0,218955.0,70223741.0,2155590787.0,17104498.0,102852730.0,877998186.0,176.0,119470.0,7353263.727054317,0.0,Hot track,2015,7 Years,Lukas Graham,Lukas Graham
USWB12201213,478.0,70.4,891578597.0,134151.0,56220971.0,121756122.0,612540.0,61522352.0,536850823.0,78.0,8.0,1548284.0,0.0,Hot track,2022,Something in the Orange,Something in the Orange,Zach Bryan
USUM72222552,477.0,70.4,629102459.0,31206.0,51913972.0,317295184.0,924600.0,28700787.0,404330162.0,45.0,46179.0,1252595.0,1.0,Hot track,2023,AMARGURA,MAANA SER,KAROL G
USQ4E1300686,476.0,70.4,1379786786.0,204118.0,68556599.0,1307002701.0,8641116.0,187452999.0,2112220730.0,453.0,304081.0,19268856.0,0.0,Hot track,2013,"Happy - From ""Despicable Me 2""",538 Hitzone Best Of 2013,Pharrell Williams
QZYFZ2445017,482.0,70.3,447406866.9237458,59397.50949646643,23351766.968625717,402784101.12144524,2930658.9799206164,273380594.5,3291790138.7,52.57903967983562,104629.2,2505943.2283492247,0.0,Hot track,2024,I Wanna Party,I Wanna Party - Single,Drake
